ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
GOOG,1096.0,1152.266,1074.44,1084.33,4252365.0
MSFT,140.0,149.35,135.0,135.42,87905868.0
NFLX,306.63,334.35,294.75,298.84,10559940.0
TSLA,469.5,494.87,442.17,445.07,20489464.0
AAPL,247.51,257.61,238.4,252.86,81013965.0
AMZN,1775.47,1857.775,1689.24,1807.84,10917129.0
FB,150.74,153.94,140.0,149.42,34255596.0
GOOG,1093.11,1130.86,1056.01,1119.8,3861489.0
MSFT,140.0,147.4998,135.0,146.57,81059817.0
NFLX,306.19,322.9,290.25,319.75,10013913.0
TSLA,440.01,471.85,396.0,430.2,23994580.0
AAPL,239.77,250.0,237.12,246.67,75058406.0
AMZN,1750.0,1841.66,1745.0,1830.0,9645218.0
FB,139.75,148.18,137.101,146.96,37553136.0
GOOG,1056.51,1106.5,1037.28,1096.8,4233435.0
MSFT,138.0,146.0,135.02,140.4,81593173.0
NFLX,302.395,331.579,300.0,315.47,12593647.0
TSLA,389.0,404.86,350.51,361.22,23786162.0
AAPL,247.385,252.84,242.61,244.78,67964255.0
AMZN,1860.0,1945.0,1832.65,1880.93,10399943.0
FB,146.62,159.929,144.8,153.13,39862312.0
GOOG,1093.05,1157.97,1060.108,1115.29,3651106.0
MSFT,142.77,150.15,139.0,142.71,85922661.0
NFLX,324.33,348.51,316.82,332.03,10615957.0
TSLA,374.69699999999995,452.0,358.46,427.64,30195460.0
AAPL,247.18,251.83,228.0,229.24,100423346.0
AMZN,1926.31,1957.0,1820.73,1846.09,9817850.0
FB,156.02,159.27,148.0,149.73,32568398.0
GOOG,1135.72,1143.99,1065.49,1072.32,3601750.0
MSFT,146.0,147.1,135.86,137.35,84866215.0
NFLX,342.31,350.49,332.0,332.83,10853846.0
TSLA,438.2,477.0,425.79,427.53,28285502.0
AAPL,228.08,228.5,212.61,224.37,84188208.0
AMZN,1827.75,1919.4,1812.0,1902.83,7808489.0
FB,149.66,152.31,142.25,148.1,29830765.0
GOOG,1061.32,1071.32,1013.5360000000001,1056.62,4044137.0
MSFT,137.01,140.57,132.52,135.98,78975176.0
NFLX,347.89,366.11,340.884,360.27,13449378.0
TSLA,433.6,442.0,410.5,434.29,16454549.0
AAPL,236.36,247.69,234.3,246.88,71882773.0
AMZN,1951.495,1955.0,1900.34,1940.1,7147080.0
FB,155.205,161.31,152.57,160.98,30440369.0
GOOG,1103.77,1135.0,1090.62,1134.46,3344450.0
MSFT,143.75,149.6,141.27,148.34,82516727.0
NFLX,369.99,372.93,353.03,357.32,11638683.0
TSLA,477.3,513.69,474.0,505.0,22895170.0
AAPL,250.75,258.25,244.3,245.52,75900510.0
AMZN,1920.69,1950.26,1885.78,1885.84,6479073.0
FB,158.92,162.99,153.06,156.21,35184271.0
GOOG,1126.47,1148.9,1086.01,1102.49,4081528.0
MSFT,148.91,154.33,144.44,146.92,75638224.0
NFLX,361.02,362.0,339.17,342.39,8767171.0
TSLA,545.25,557.0,511.11,539.25,21222745.0
AAPL,246.52,258.68,246.36,258.44,63140169.0
AMZN,1902.0,1956.49,1889.29,1955.49,6235118.0
FB,158.25,164.0,157.02,163.34,26579021.0
GOOG,1111.8,1169.97,1093.53,1161.75,3573755.0
MSFT,148.4,156.66,148.37,156.11,64694427.0
NFLX,344.0,363.84,341.73,362.99,7235016.0
TSLA,547.39,560.0,512.25,528.16,17422082.0
AAPL,252.75,255.87,247.05,247.74,51054153.0
AMZN,1930.86,1939.79,1899.92,1900.1,5387897.0
FB,158.2,160.09,154.75,156.79,24879869.0
GOOG,1125.67,1150.67,1105.91,1110.71,3208495.0
MSFT,151.75,154.89,149.2,149.7,57042291.0
NFLX,359.09,368.56,353.0,357.12,7948775.0
TSLA,505.0,525.8,494.03,514.36,14377408.0
AAPL,250.74,255.52,249.4,254.81,41994110.0
AMZN,1922.83,1973.63,1912.34,1963.95,6126087.0
FB,159.18,166.75,158.06,165.95,22515225.0
GOOG,1125.04,1151.63,1096.48,1146.82,2574061.0
MSFT,152.44,160.6,150.01,160.23,63420326.0
NFLX,363.0,377.8,361.17,370.96,8621964.0
TSLA,510.26,516.6469999999999,491.23,502.13,11998067.0
AAPL,255.6,262.49,252.0,254.29,49250501.0
AMZN,1964.35,1993.02,1944.01,1949.72,5123626.0
FB,165.48,170.93,164.2,166.8,23676283.0
GOOG,1147.3,1175.31,1138.14,1162.81,2487983.0
MSFT,159.4,164.78,156.56,157.71,77927186.0
NFLX,367.93,383.01,366.44,375.5,9366464.0
